Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
59,8.0,8.0,9.0,7.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,9.0,10.0,10.0,9.0,6.0,11.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,9.0,7.0,9.0,10.0,7.0,8.0,10.0,8.0,10.0,8.375,1.391
60,8.0,8.0,9.0,7.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,9.0,10.0,10.0,9.0,6.0,11.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,9.0,7.0,9.0,10.0,7.0,8.0,10.0,8.0,10.0,8.375,1.391
61,8.0,8.0,9.0,7.0,7.0,8.0,8.0,9.0,9.0,6.0,7.0,5.0,9.0,11.0,8.0,10.0,9.0,7.0,9.0,10.0,10.0,9.0,6.0,11.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,9.0,7.0,9.0,10.0,7.0,8.0,10.0,8.0,10.0,8.325,1.367
62,8.0,8.0,9.0,7.0,7.0,8.0,8.0,9.0,9.0,6.0,7.0,5.0,9.0,11.0,8.0,10.0,9.0,7.0,9.0,10.0,10.0,9.0,6.0,11.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,9.0,7.0,9.0,10.0,7.0,8.0,10.0,8.0,10.0,8.325,1.367
63,8.0,8.0,9.0,7.0,7.0,8.0,8.0,9.0,9.0,6.0,7.0,5.0,9.0,11.0,8.0,10.0,9.0,7.0,9.0,10.0,10.0,9.0,6.0,11.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,9.0,7.0,9.0,10.0,7.0,8.0,10.0,8.0,10.0,8.325,1.367
64,8.0,8.0,9.0,7.0,7.0,8.0,8.0,9.0,9.0,6.0,7.0,5.0,9.0,11.0,8.0,10.0,9.0,7.0,9.0,10.0,10.0,9.0,6.0,10.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,9.0,7.0,9.0,10.0,7.0,8.0,10.0,8.0,10.0,8.3,1.327
65,8.0,8.0,9.0,7.0,7.0,8.0,8.0,9.0,9.0,6.0,7.0,5.0,9.0,11.0,8.0,10.0,9.0,7.0,9.0,10.0,10.0,9.0,6.0,10.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,9.0,7.0,9.0,10.0,7.0,8.0,10.0,8.0,10.0,8.3,1.327
66,8.0,8.0,9.0,7.0,7.0,8.0,8.0,9.0,9.0,6.0,7.0,5.0,9.0,11.0,8.0,10.0,9.0,7.0,9.0,10.0,10.0,9.0,6.0,10.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,9.0,7.0,9.0,10.0,7.0,8.0,10.0,8.0,10.0,8.3,1.327
67,8.0,8.0,9.0,7.0,7.0,8.0,8.0,9.0,8.0,6.0,7.0,5.0,9.0,11.0,8.0,10.0,9.0,7.0,9.0,10.0,10.0,9.0,6.0,10.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,9.0,7.0,9.0,10.0,7.0,8.0,10.0,8.0,10.0,8.275,1.323
68,8.0,8.0,9.0,7.0,7.0,8.0,8.0,9.0,8.0,6.0,7.0,5.0,9.0,11.0,8.0,10.0,9.0,7.0,9.0,10.0,10.0,9.0,6.0,10.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,9.0,7.0,9.0,10.0,7.0,8.0,10.0,8.0,10.0,8.275,1.323
